,,eficiencia,eficiencia,media_s,media_s,speedup,speedup,std_s,std_s,delta_pct
algoritmo,,FxC,FxT,FxC,FxT,FxC,FxT,FxC,FxT,
N,hilos,,,,,,,,,
500,1,1.0,1.0,0.1862867,0.16327523333333333,1.0,1.0,0.020698147378615712,0.011784334896110096,12.352715822797158
500,2,0.6984846712350752,0.7642118312756238,0.13335059999999999,0.1068259,1.3969693424701504,1.5284236625512475,0.014745732008115853,0.005565832418147041,19.89094912208868
500,4,0.5297665903005127,0.5270356841894148,0.08790979999999998,0.07744979999999999,2.1190663612020506,2.1081427367576593,0.004052752843906609,0.008762390184859616,11.89855966001515
1000,1,1.0,1.0,1.4774153,1.1177306666666664,1.0,1.0,0.14406488377622986,0.06188809896754054,24.34553326565209
1000,2,0.8527212901572988,0.8404035891724921,0.8662943666666666,0.6649963666666666,1.7054425803145976,1.6808071783449843,0.09345847692055118,0.039746067110997964,23.236674246717754
1000,4,0.681829773903515,0.7120376352241942,0.5417097333333333,0.39244086666666667,2.72731909561406,2.8481505408967767,0.051335243241705374,0.033816889712740855,27.55513838530499
2000,1,1.0,1.0,20.705723899999995,8.374267533333333,1.0,1.0,0.9984845174459467,0.24873110252040484,59.55578479758762
2000,2,0.9571266991382623,0.8774160239769931,10.816605533333334,4.772119099999999,1.9142533982765246,1.7548320479539863,0.4884367540949485,0.20674145383051554,55.88154633823108
2000,4,0.8244312825491649,0.7441376668403347,6.278790099999999,2.8134134,3.2977251301966595,2.9765506673613387,0.540788344035105,0.27347470858962314,55.191790851552746
3000,1,1.0,1.0,80.1184352,27.683369466666665,1.0,1.0,3.8291777440718984,0.5101304400300213,65.44694189600615
3000,2,0.9621873459851186,0.9436001228366926,41.63349036666666,14.669015399999997,1.9243746919702371,1.8872002456733852,2.2929807691535706,0.335759401088154,64.76630887583578
3000,4,0.8574085580848174,0.8015741455638062,23.3606355,8.634063866666667,3.4296342323392697,3.206296582255225,0.9133952699042733,0.42834054520091397,63.040115639548134
